Feature,Importance
AnnualIncome,0.6475066397692201
FamilyMembers,0.16180513380213163
Age,0.10737656908046851
IncomePerMember,0.03754661841989961
TravelPropensity,0.030044862548191182
FrequentFlyer,0.00577183820236957
IncomeGroup,0.003738723154942954
GraduateOrNot,0.0033454349110032216
ChronicDiseases,0.0023008255787580856
AgeGroup,0.000436122582655306
RiskScore,0.0001272319503598346
Employment Type,0.0
EverTravelledAbroad,0.0
